City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
2,Bengkulu,ID,80.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
4,Dingle,PH,86.92,light rain,10.9995,122.6711,SEGAYA PROPERTY
5,Rapid Valley,US,82.6,clear sky,44.0625,-103.1463,Fairfield by Marriott Rapid City
7,Beruwala,LK,80.29,overcast clouds,6.4788,79.9828,The Palms Hotel
8,Malkapur,IN,82.99,overcast clouds,20.8833,76.2,Hotel Sarthi International
9,Yenagoa,NG,76.28,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
10,Kloulklubed,PW,84.7,few clouds,7.0419,134.2556,Storyboard Beach Resort
23,Rantauprapat,ID,84.02,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
29,Ixtapa,MX,82.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
39,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
44,Kapaa,US,78.78,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Loandjili,CG,78.91,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
53,Bandarbeyla,SO,78.98,overcast clouds,9.4942,50.8122,JABIR HOTEL
55,Pacific Grove,US,84.07,broken clouds,36.6177,-121.9166,Lovers Point Inn
57,Newberry,US,77.59,broken clouds,34.2746,-81.6187,Hampton Inn Newberry-Opera House
60,Vaitape,PF,81.25,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
61,Katubao,PH,85.98,scattered clouds,5.8892,124.8294,IML Ecopark
62,Vermilion,US,77.59,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
64,Ugoofaaru,MV,82.78,overcast clouds,5.6667,73.0,Ungoofaaru Inn
66,Luwuk,ID,84.11,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
73,Samarai,PG,80.02,moderate rain,-10.6167,150.6667,Nuli Sapi
77,Labuhan,ID,84.96,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
81,Hithadhoo,MV,83.93,overcast clouds,-0.6,73.0833,Scoop Guest House
85,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
86,Saint Anthony,US,84.52,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
88,Codajas,BR,76.28,light rain,-3.8367,-62.0569,Hotel Tamires
98,Three Hills,CA,84.69,broken clouds,51.7001,-113.2686,Super 8 by Wyndham Three Hills AB
100,Atuona,PF,79.88,light rain,-9.8,-139.0333,Villa Enata
105,Hilo,US,84.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
119,Brokopondo,SR,76.8,moderate rain,4.75,-55.1667,Matu Island
127,Manggar,ID,85.87,broken clouds,-2.8833,108.2667,Guest Hotel
128,Petionville,HT,80.29,clear sky,18.5125,-72.2853,Hotel NH Haiti El Rancho
129,Atar,MR,88.29,overcast clouds,20.5169,-13.0499,Oumou Elghoura
131,Mogadishu,SO,78.8,scattered clouds,2.0371,45.3438,Hotel Juba
135,Carutapera,BR,75.94,broken clouds,-1.195,-46.02,Lidera
138,Damghan,IR,81.84,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
139,Samana,DO,77.09,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
145,Korla,CN,86.45,overcast clouds,41.7597,86.1469,Gulisitan Hotel
151,Kailua,US,87.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
170,Corn Island,NI,82.4,scattered clouds,12.1694,-83.0418,Big Fish Guest House
171,Champerico,GT,85.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
172,Butaritari,KI,83.19,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
174,Poum,NC,75.56,scattered clouds,-20.2333,164.0167,Gîte kajeon
175,Tecoanapa,MX,84.04,few clouds,16.5167,-98.75,Hotel Manglares
176,Bandar-E Lengeh,IR,89.06,clear sky,26.5579,54.8807,کافی نت پارس
179,Batagay,RU,77.11,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
181,Faanui,PF,81.27,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
185,Abu Dhabi,AE,84.31,fog,24.4667,54.3667,Ramee Garden Hotel Apartments
189,Tual,ID,81.86,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
198,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
199,Kiunga,PG,75.67,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
203,Portland,US,83.28,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
204,Cockburn Town,TC,79.9,few clouds,21.4612,-71.1419,Osprey Beach Hotel
205,Arlit,NE,89.38,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
207,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
211,Rosarito,MX,76.05,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
217,Tura,IN,81.3,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
222,Daru,PG,79.99,overcast clouds,-9.0763,143.2092,Daru Lodge
224,Lorengau,PG,85.01,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
226,Kirakira,SB,83.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
233,Grand-Lahou,CI,79.79,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
235,Kaifeng,CN,81.46,clear sky,34.7911,114.3483,Pullman Kaifeng Jianye
236,Ionia,US,75.34,overcast clouds,42.9873,-85.0711,"American Inn & Suites Ionia, MI"
239,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
246,Karaton,ID,84.36,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
248,Kavieng,PG,84.38,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
249,Kilindoni,TZ,77.81,broken clouds,-7.9139,39.6668,Bustani B&B
253,Kahului,US,85.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
256,Victoria,HK,85.96,light rain,22.2855,114.1577,Mini Hotel Central
260,Lompoc,US,79.12,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
272,Cartagena,CO,82.02,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
280,Silver City,US,78.76,clear sky,32.7701,-108.2803,Copper Manor Motel
281,Bowen,AU,80.82,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
285,Sao Jose Da Coroa Grande,BR,75.74,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
288,Tezu,IN,83.89,overcast clouds,27.9167,96.1667,Circuit House
296,Isla Vista,US,79.34,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
302,Aden,YE,85.91,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
306,Aguada De Pasajeros,CU,78.94,overcast clouds,22.385,-80.8508,Soles de Marti
310,Cozumel,MX,80.11,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
312,Kieta,PG,83.25,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
316,Candolim,IN,79.97,light rain,15.5181,73.7626,Resort Terra Paraiso
322,Pangkalanbuun,ID,86.54,light rain,-2.6833,111.6167,Grand Kecubung Hotel
324,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
329,Half Moon Bay,US,84.38,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
335,Maragogi,BR,75.36,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
341,Progreso,MX,78.91,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
342,Lamar,US,75.36,clear sky,33.6668,-95.5836,Kings Inn Paris TX
344,Kavaratti,IN,84.13,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
347,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
348,Hobyo,SO,78.03,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
362,Padang,ID,83.03,light rain,-0.9492,100.3543,Mercure Padang
365,Sindi,IN,81.48,overcast clouds,20.8,78.8667,Vaibhav Kudmati
379,Bedong,MY,85.95,broken clouds,5.7274,100.5088,HOTEL AKASIA
380,Natal,BR,75.42,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
382,Ternate,ID,83.34,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
383,Kambam,ID,81.36,overcast clouds,5.2505,96.8629,Imam & ebenk homestay
384,Sabha,LY,86.47,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
386,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
387,Cochrane,CA,87.04,overcast clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
389,Gushikawa,JP,87.39,few clouds,26.3544,127.8686,Kirari Guest House
390,Umm Lajj,SA,80.53,clear sky,25.0213,37.2685,Moon light Furnished Units
391,Eirunepe,BR,78.62,overcast clouds,-6.6603,-69.8736,Atrás de você
392,Peace River,CA,75.51,few clouds,56.2501,-117.286,BCMInns - Peace River
398,Cortez,US,79.56,few clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
400,Puri,IN,86.38,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
401,Comayagua,HN,85.23,broken clouds,14.45,-87.6333,Hotel Santa Lucia de Comayagua
402,Panama City,PA,83.05,broken clouds,8.9936,-79.5197,Hotel Riande Granada Urban
410,Buala,SB,84.92,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
411,Khash,IR,81.3,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
412,North Platte,US,84.09,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
414,Popondetta,PG,88.52,overcast clouds,-8.7537,148.2534,Timos Transit House
418,Wentzville,US,76.23,clear sky,38.8114,-90.8529,Fairfield Inn & Suites by Marriott St. Louis West/Wentzville
426,Loma Bonita,PA,82.78,broken clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
429,Katobu,ID,80.2,overcast clouds,-4.9408,122.5276,La Ode Husein
433,Sagua La Grande,CU,81.59,few clouds,22.8067,-80.0756,Hotel Telégrafo
435,Boke,GN,76.62,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
439,Galle,LK,80.6,overcast clouds,6.0367,80.217,Amangalla
441,Pochutla,MX,80.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
447,Robertsport,LR,81.86,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
449,Port-Gentil,GA,78.17,scattered clouds,-0.7193,8.7815,Fengshui Residence
450,Changji,CN,86.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
452,Puerto Carreno,CO,79.07,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
454,Puerto Escondido,MX,83.19,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
456,Sarangani,PH,83.44,broken clouds,5.4033,125.4636,Ballistic Islet
457,Aswan,EG,80.96,broken clouds,24.0934,32.907,Nuba Nile
459,Kalmunai,LK,81.07,overcast clouds,7.4167,81.8167,VS Villa
461,Syriam,MM,82.51,few clouds,16.7722,96.2378,Excel River View
462,Sawakin,SD,83.37,clear sky,19.1059,37.3321,فندق الدويم
465,Bosaso,SO,89.02,overcast clouds,11.2842,49.1816,Red Sea Hotel
467,Pacifica,US,84.2,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
474,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
475,Ibra,OM,85.68,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
478,Moerai,PF,77.43,clear sky,-22.4333,-151.3333,Le Manotel
482,Jalu,LY,79.95,few clouds,29.0331,21.5482,صاحبة الفخامة
486,Lumby,CA,81.19,overcast clouds,50.2498,-118.969,Twin Creeks Motel
491,Dibulla,CO,79.32,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
501,Mae Hong Son,TH,86.14,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
504,Sinnamary,GF,77.34,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
515,Oranjestad,AW,82.35,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
516,Xiangfan,CN,77.63,broken clouds,32.0422,112.1448,Xiangyang Wanda Crowne Plaza
518,Charleston,US,78.03,light rain,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
522,Coahuayana,MX,81.36,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
524,Estelle,US,77.0,light rain,29.8458,-90.1067,Ohio
526,Russell,US,78.08,few clouds,32.3502,-85.1999,Macs
527,Pedasi,PA,80.71,overcast clouds,7.5333,-80.0333,Selina Pedasi
532,Winder,US,76.51,scattered clouds,33.9926,-83.7202,Jameson Inn Winder
534,Qingyuan,CN,76.98,light rain,23.7,113.0333,Guojin Commercial Hotel
538,Nago,JP,88.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
539,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
540,Buraydah,SA,88.25,broken clouds,26.326,43.975,فندق راحة السلام
544,Fort Smith,US,78.84,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
546,Lazaro Cardenas,MX,82.69,few clouds,17.9583,-102.2,Hotel Quinta Antigua
547,Sabang,ID,83.16,overcast clouds,5.8933,95.3214,Hotel Citra
549,Tiwi,PH,84.18,broken clouds,13.4667,123.6167,Balikbayan Resort
555,Axim,GH,79.34,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
557,Marsh Harbour,BS,78.35,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
558,Maumere,ID,83.97,scattered clouds,-8.6199,122.2111,Sylvia Hotel
564,Boundiali,CI,77.14,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
569,Nabire,ID,83.71,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
571,Pingyi,CN,78.6,clear sky,35.5006,117.6308,Yiranju Hotel
572,Honiara,SB,86.09,overcast clouds,-9.4333,159.95,Heritage Park Hotel
573,Nautla,MX,80.44,overcast clouds,20.2167,-96.7833,Casa Blanca
577,Lamu,KE,79.02,few clouds,-2.2717,40.902,Lamu House
