City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,73.54,89,72,5.99,broken clouds
1,Avarua,CK,-21.2078,-159.775,80.65,74,23,12.66,few clouds
2,Bengkulu,ID,-3.8004,102.2655,80.98,81,91,1.57,overcast clouds
3,Castro,BR,-24.7911,-50.0119,58.26,93,81,3.51,broken clouds
4,Dingle,PH,10.9995,122.6711,86.92,70,75,6.04,light rain
5,Rapid Valley,US,44.0625,-103.1463,82.6,37,1,6.91,clear sky
6,Jamestown,US,42.097,-79.2353,65.52,92,20,3.0,few clouds
7,Beruwala,LK,6.4788,79.9828,80.29,85,100,11.18,overcast clouds
8,Malkapur,IN,20.8833,76.2,82.99,63,99,3.69,overcast clouds
9,Yenagoa,NG,4.9247,6.2642,76.28,94,88,3.33,overcast clouds
10,Kloulklubed,PW,7.0419,134.2556,84.7,71,17,1.5,few clouds
11,Mahebourg,MU,-20.4081,57.7,73.69,78,75,10.36,broken clouds
12,Marrakesh,MA,31.6315,-8.0083,64.47,68,40,6.91,scattered clouds
13,Nemuro,JP,43.3236,145.575,59.43,94,100,26.84,light rain
14,Busselton,AU,-33.65,115.3333,63.86,71,75,11.52,broken clouds
15,Mataura,NZ,-46.1927,168.8643,53.94,73,70,3.8,broken clouds
16,Astana,KZ,51.1801,71.446,60.75,59,0,6.08,clear sky
17,Ushuaia,AR,-54.8,-68.3,28.06,80,0,10.36,clear sky
18,Morros,BR,-9.4467,-46.3003,74.88,46,36,2.68,scattered clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,91.81,34,1,11.5,clear sky
20,Cape Town,ZA,-33.9258,18.4232,54.12,93,0,3.76,clear sky
21,Yellowknife,CA,62.456,-114.3525,66.72,52,75,9.22,broken clouds
22,Port Elizabeth,ZA,-33.918,25.5701,44.89,87,0,1.14,clear sky
23,Rantauprapat,ID,2.1,99.8333,84.02,72,100,2.15,overcast clouds
24,Hobart,AU,-42.8794,147.3294,50.05,53,20,1.99,few clouds
25,Khatanga,RU,71.9667,102.5,34.61,81,100,7.16,overcast clouds
26,Ilulissat,GL,69.2167,-51.1,37.42,75,100,6.91,overcast clouds
27,Barrow,US,71.2906,-156.7887,33.82,80,90,18.41,light snow
28,La Paz,BO,-16.5,-68.15,40.98,75,90,8.05,overcast clouds
29,Ixtapa,MX,20.7,-105.2,82.22,83,90,6.91,overcast clouds
30,Laguna,US,38.421,-121.4238,99.61,27,1,3.0,clear sky
31,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,12.66,light rain
32,Klaksvik,FO,62.2266,-6.589,49.12,96,22,17.02,few clouds
33,Punta Arenas,CL,-53.15,-70.9167,35.71,93,90,8.48,light rain
34,Baykit,RU,61.67,96.37,48.4,53,100,4.56,overcast clouds
35,Cherskiy,RU,68.75,161.3,67.95,25,98,2.82,overcast clouds
36,Kampene,CD,-3.6,26.6667,66.54,99,43,1.19,light rain
37,Aguimes,ES,27.9054,-15.4461,63.66,72,20,20.71,few clouds
38,Thinadhoo,MV,0.5333,72.9333,83.73,69,100,18.37,overcast clouds
39,Vaini,TO,-21.2,-175.2,77.16,78,40,0.0,scattered clouds
40,Burns Lake,CA,54.2331,-125.7533,60.22,44,100,7.56,overcast clouds
41,Deputatskiy,RU,69.3,139.9,69.37,29,100,15.57,overcast clouds
42,Touros,BR,-5.1989,-35.4608,74.3,81,1,10.0,clear sky
43,Prainha,BR,-1.8,-53.48,74.03,97,36,3.22,scattered clouds
44,Kapaa,US,22.0752,-159.319,78.78,86,90,4.0,moderate rain
45,Loandjili,CG,-4.7561,11.8578,78.91,89,75,6.91,broken clouds
46,Fairlie,GB,55.756,-4.8556,52.2,88,63,9.93,broken clouds
47,Tulun,RU,54.5611,100.5792,71.87,43,91,7.29,overcast clouds
48,Lebu,CL,-37.6167,-73.65,56.05,96,100,3.47,overcast clouds
49,Hasaki,JP,35.7333,140.8333,72.28,87,100,29.57,overcast clouds
50,Olinda,BR,-8.0089,-34.8553,74.93,78,90,6.87,overcast clouds
51,Zlynka,RU,52.4267,31.7378,49.78,81,43,7.02,scattered clouds
52,Hermanus,ZA,-34.4187,19.2345,53.91,72,97,7.2,overcast clouds
53,Bandarbeyla,SO,9.4942,50.8122,78.98,80,100,18.21,overcast clouds
54,Vostok,RU,46.4856,135.8833,47.89,99,100,1.9,heavy intensity rain
55,Pacific Grove,US,36.6177,-121.9166,84.07,84,75,5.99,broken clouds
56,Port Alfred,ZA,-33.5906,26.891,53.55,74,10,6.6,clear sky
57,Newberry,US,34.2746,-81.6187,77.59,97,73,5.68,broken clouds
58,Setermoen,NO,68.861,18.3486,52.43,59,8,1.21,clear sky
59,Paamiut,GL,61.994,-49.6678,35.76,75,5,7.65,clear sky
60,Vaitape,PF,-16.5167,-151.75,81.25,73,57,10.25,broken clouds
61,Katubao,PH,5.8892,124.8294,85.98,74,50,4.83,scattered clouds
62,Vermilion,US,40.1667,-87.7506,77.59,54,1,6.8,clear sky
63,Severo-Kurilsk,RU,50.6789,156.125,47.1,72,55,6.62,broken clouds
64,Ugoofaaru,MV,5.6667,73.0,82.78,70,100,17.6,overcast clouds
65,Rikitea,PF,-23.1203,-134.9692,72.84,65,47,13.49,scattered clouds
66,Luwuk,ID,-0.9516,122.7875,84.11,74,100,6.82,overcast clouds
67,Airai,TL,-8.9266,125.4092,72.09,54,47,3.91,scattered clouds
68,Shingu,JP,33.7333,135.9833,74.91,96,100,16.53,heavy intensity rain
69,Mokhsogollokh,RU,61.4681,128.9203,77.45,30,8,5.84,clear sky
70,Sonoita,MX,31.85,-112.8333,96.53,13,0,10.65,clear sky
