City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rawson,AR,2021-05-24 22:55:36,-43.3002,-65.1023,53.58,38,0,30.51
1,Fort Nelson,CA,2021-05-24 22:55:36,58.8053,-122.7002,56.79,30,75,13.8
2,Cape Town,ZA,2021-05-24 22:54:43,-33.9258,18.4232,61.12,87,20,6.87
3,Agaro,ET,2021-05-24 22:55:37,7.85,36.65,60.46,93,78,1.88
4,Tuatapere,NZ,2021-05-24 22:55:37,-46.1333,167.6833,42.62,67,8,3.2
5,Ushuaia,AR,2021-05-24 22:55:37,-54.8,-68.3,29.86,93,90,31.07
6,Cherskiy,RU,2021-05-24 22:55:38,68.75,161.3,50.56,36,12,8.97
7,Mehran,IR,2021-05-24 22:55:38,33.1222,46.1646,80.08,15,0,9.13
8,Carnarvon,AU,2021-05-24 22:55:38,-24.8667,113.6333,51.87,93,0,8.05
9,Jalu,LY,2021-05-24 22:55:39,29.0331,21.5482,79.54,12,0,7.49
10,Lorengau,PG,2021-05-24 22:55:39,-2.0226,147.2712,81.88,84,100,14.61
11,Tarko-Sale,RU,2021-05-24 22:55:39,64.9225,77.785,39.0,61,94,8.25
12,Esperance,AU,2021-05-24 22:54:24,-33.8667,121.9,49.84,62,100,17.78
13,Qaanaaq,GL,2021-05-24 22:55:13,77.484,-69.3632,31.44,75,5,6.71
14,Atuona,PF,2021-05-24 22:55:40,-9.8,-139.0333,80.2,75,13,17.65
15,Marsa Matruh,EG,2021-05-24 22:55:40,31.3525,27.2453,70.0,78,0,9.22
16,Guarda,PT,2021-05-24 22:55:40,40.5373,-7.2658,39.24,81,5,3.47
17,Marzuq,YE,2021-05-24 22:55:41,14.4,46.4667,78.64,32,5,4.41
18,Rikitea,PF,2021-05-24 22:53:53,-23.1203,-134.9692,76.91,79,97,18.66
19,Kapaa,US,2021-05-24 22:53:51,22.0752,-159.319,79.12,59,76,3.0
20,Bam,IR,2021-05-24 22:52:08,29.106,58.357,84.99,19,19,6.76
21,Bogande,BF,2021-05-24 22:55:41,12.9714,-0.1436,92.53,34,55,7.96
22,Luderitz,NA,2021-05-24 22:53:54,-26.6481,15.1594,66.85,55,100,4.97
23,Puerto Ayora,EC,2021-05-24 22:53:19,-0.7393,-90.3518,82.36,88,53,5.01
24,Bluff,NZ,2021-05-24 22:55:42,-46.6,168.3333,40.75,74,5,4.97
25,Bambous Virieux,MU,2021-05-24 22:55:42,-20.3428,57.7575,71.85,77,75,13.47
26,Vila Velha,BR,2021-05-24 22:55:43,-20.3297,-40.2925,76.95,83,75,10.0
27,Yellowknife,CA,2021-05-24 22:52:09,62.456,-114.3525,42.33,38,20,8.01
28,Constitucion,CL,2021-05-24 22:55:43,-35.3333,-72.4167,55.51,85,10,10.4
29,Busselton,AU,2021-05-24 22:55:43,-33.65,115.3333,48.09,71,100,3.0
30,Mataura,NZ,2021-05-24 22:55:44,-46.1927,168.8643,40.73,71,4,3.15
